sku,name,description,url,group_id,gender,categories,primary_category,primary_end_use,image_url,color,price,in_stock
1000271-100,Men's Performance Jockstrap with Cup Pocket,Men's Performance Jockstrap with Cup Pocket,https://www.underarmour.com/en-us/mens-performance-jock-with-cup-pocket/pid1000271-100,1000271,Mens,Protective|Jock|3.5 in. or less,Apparel,Training,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1000271-100?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",White,14.99,TRUE
1002483-400,Boys' College Park Jersey,Boys' College Park Jersey,https://www.underarmour.com/en-us/boys-college-park-jersey/pcid1002483-400,1002483,Boys,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1002483-400_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Royal,22.99,TRUE
1002483-410,Boys' College Park Jersey,Boys' College Park Jersey,https://www.underarmour.com/en-us/boys-college-park-jersey/pcid1002483-410,1002483,Boys,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1002483-410_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Midnight Navy,22.99,TRUE
1002483-100,Boys' College Park Jersey,Boys' College Park Jersey,https://www.underarmour.com/en-us/boys-college-park-jersey/pcid1002483-100,1002483,Boys,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1002483-100_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",White,22.99,TRUE
1002483-600,Boys' College Park Jersey,Boys' College Park Jersey,https://www.underarmour.com/en-us/boys-college-park-jersey/pcid1002483-600,1002483,Boys,Shirts & Tops|Short-Sleeve Shirt|Crew Neck,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1002483-600_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Red,22.99,TRUE
1002487-001,Boys' College Park Pant,Boys' College Park Pant,https://www.underarmour.com/en-us/boys-college-park-pant/pcid1002487-001,1002487,Boys,Bottoms|Pant|Straight Leg,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1002487-001?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=240,230&extend=0,1,0,0&cache=on,off&resMode=sharp2",Black ,26.99,TRUE
1002487-100,Boys' College Park Pant,Boys' College Park Pant,https://www.underarmour.com/en-us/boys-college-park-pant/pcid1002487-100,1002487,Boys,Bottoms|Pant|Straight Leg,Apparel,Football,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/1002487-100?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=240,230&extend=0,1,0,0&cache=on,off&resMode=sharp2",White,26.99,TRUE
1004211-469,Men's Flats Guide Long Sleeve Shirt,Men's Flats Guide Long Sleeve Shirt,https://www.underarmour.com/en-us/mens-flats-guide-ii-long-sleeve/pcid1004211-469,1004211,Mens,Shirts & Tops|Long-Sleeve Shirt|Button-Down,Apparel,Fish,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1004211-469_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Cadet,52.99,TRUE
1005492-001,Men's UA Tactical Range Polo,Men's UA Tactical Range Polo,https://www.underarmour.com/en-us/mens-tactical-range-polo/pid1005492-001,1005492,Mens,Shirts & Tops|Short-Sleeve Shirt|Polo,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1005492-001_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Black ,49.99,TRUE
1005492-290,Men's UA Tactical Range Polo,Men's UA Tactical Range Polo,https://www.underarmour.com/en-us/mens-tactical-range-polo/pid1005492-290,1005492,Mens,Shirts & Tops|Short-Sleeve Shirt|Polo,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1005492-290_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Desert Sand,49.99,TRUE
1005492-390,Men's UA Tactical Range Polo,Men's UA Tactical Range Polo,https://www.underarmour.com/en-us/mens-tactical-range-polo/pid1005492-390,1005492,Mens,Shirts & Tops|Short-Sleeve Shirt|Polo,Apparel,Military/Tactical,"https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/Underarmour/V5-1005492-390_LDF?scl=1&fmt=jpg&qlt=85&wid=230&hei=240&size=216,207&cache=on,off&resMode=sharp2",Marine OD Green,49.99,TRUE
